"Dataset","Threshold","NetBenefit_Model","NetBenefit_All","NetBenefit_None"
"GSE14520",0.01,0.323282081902772,0.323282081902772,0
"GSE14520",0.02,0.316376797024228,0.316376797024228,0
"GSE14520",0.03,0.30932913513788,0.30932913513788,0
"GSE14520",0.04,0.302134646962233,0.302134646962233,0
"GSE14520",0.05,0.295047964739435,0.294788695877625,0
"GSE14520",0.06,0.288229745309716,0.28728644796143,0
"GSE14520",0.07,0.275809100058266,0.27962286138037,0
"GSE14520",0.08,0.269008352966374,0.271792675091026,0
"GSE14520",0.09,0.245006225301792,0.263790396795323,0
"GSE14520",0.1,0.240284619594964,0.255610290093049,0
"GSE14520",0.11,0.231084297337688,0.247246360768251,0
"GSE14520",0.12,0.22525750111957,0.238692342140618,0
"GSE14520",0.13,0.219523243304456,0.229941679406602,0
"GSE14520",0.14,0.203230610608317,0.220987512888074,0
"GSE14520",0.15,0.196754563894523,0.211822660098522,0
"GSE14520",0.16,0.19376026272578,0.202439596528266,0
"GSE14520",0.17,0.188853937919164,0.192830435040655,0
"GSE14520",0.18,0.184548840562297,0.182986903760663,0
"GSE14520",0.19,0.183725597518701,0.17290032232561,0
"GSE14520",0.2,0.176108374384236,0.16256157635468,0
"GSE14520",0.21,0.166178212882709,0.151961089979423,0
"GSE14520",0.22,0.161172161172161,0.14108879626121,0
"GSE14520",0.23,0.160578337918239,0.129934105303563,0
"GSE14520",0.24,0.157116930256676,0.118485869847031,0
"GSE14520",0.25,0.147783251231527,0.106732348111658,0
"GSE14520",0.26,0.145120489948076,0.0946611636266808,0
"GSE14520",0.27,0.14994264120386,0.0822592617585531,0
"GSE14520",0.28,0.150793650793651,0.0695128626163108,0
"GSE14520",0.29,0.148615832928606,0.0564074099771039,0
"GSE14520",0.3,0.152005629838142,0.0429275158339197,0
"GSE14520",0.31,0.13735989148283,0.0290569001213678,0
"GSE14520",0.32,0.136771950159374,0.0147783251231526,0
"GSE14520",0.33,0.136975222410117,7.3524005587744e-05,0
"GSE14520",0.34,0.12748171368861,-0.0150768771458428,0
"GSE14520",0.35,0.120879120879121,-0.0306934444865481,0
"GSE14520",0.36,0.127463054187192,-0.0467980295566504,0
"GSE14520",0.37,0.127062319180546,-0.0634138712956447,0
"GSE14520",0.38,0.130303511838551,-0.0805657079294455,0
"GSE14520",0.39,0.131309052733586,-0.0982798998627151,0
"GSE14520",0.4,0.137931034482759,-0.116584564860427,0
"GSE14520",0.41,0.133505886282041,-0.135509726976705,0
"GSE14520",0.42,0.132835060302361,-0.155087480890097,0
"GSE14520",0.43,0.127733125918244,-0.175352173537292,0
"GSE14520",0.44,0.119282195636875,-0.1963406052076,0
"GSE14520",0.45,0.0971786833855799,-0.218092252575011,0
"GSE14520",0.46,0.0883050538222952,-0.240649516511586,0
"GSE14520",0.47,0.0855098057440282,-0.2640579979552,0
"GSE14520",0.48,0.0879120879120879,-0.288366805608185,0
"GSE14520",0.49,0.0953346855983773,-0.313628899835796,0
"GSE14520",0.5,0.0886699507389163,-0.339901477832512,0
"GSE14520",0.51,0.0819342515331256,-0.367246405951543,0
"GSE14520",0.52,0.0755336617405583,-0.395730706075534,0
"GSE14520",0.53,0.0744156796981448,-0.425427104077141,0
"GSE14520",0.54,0.0728207324908974,-0.456414649817948,0
"GSE14520",0.55,0.0711548987411056,-0.488779419813903,0
"GSE14520",0.56,0.070756829377519,-0.522615315718764,0
"GSE14520",0.57,0.075724596173674,-0.558024974223852,0
"GSE14520",0.58,0.0595824536711236,-0.595120806943467,0
"GSE14520",0.59,0.053226000240298,-0.634026192478674,0
"GSE14520",0.6,0.0492610837438424,-0.674876847290641,0
"TCGA-LIHC",0.01,0.533799533799534,0.533799533799534,0
"TCGA-LIHC",0.02,0.529042386185243,0.529042386185243,0
"TCGA-LIHC",0.03,0.524187153053132,0.524187153053132,0
"TCGA-LIHC",0.04,0.519230769230769,0.519230769230769,0
"TCGA-LIHC",0.05,0.51417004048583,0.51417004048583,0
"TCGA-LIHC",0.06,0.509001636661211,0.509001636661211,0
"TCGA-LIHC",0.07,0.498593879239041,0.503722084367246,0
"TCGA-LIHC",0.08,0.493199554069119,0.498327759197324,0
"TCGA-LIHC",0.09,0.488193857424627,0.492814877430262,0
"TCGA-LIHC",0.1,0.483190883190883,0.487179487179487,0
"TCGA-LIHC",0.11,0.480092192451743,0.481417458945549,0
"TCGA-LIHC",0.12,0.462004662004662,0.475524475524476,0
"TCGA-LIHC",0.13,0.454582964927792,0.469496021220159,0
"TCGA-LIHC",0.14,0.451878354203936,0.463327370304114,0
"TCGA-LIHC",0.15,0.441025641025641,0.457013574660633,0
"TCGA-LIHC",0.16,0.411477411477412,0.450549450549451,0
"TCGA-LIHC",0.17,0.382082174853259,0.443929564411492,0
"TCGA-LIHC",0.18,0.367729831144465,0.437148217636022,0
"TCGA-LIHC",0.19,0.345299145299145,0.43019943019943,0
"TCGA-LIHC",0.2,0.333333333333333,0.423076923076923,0
"TCGA-LIHC",0.21,0.315417072379098,0.415774099318403,0
"TCGA-LIHC",0.22,0.310716633793557,0.408284023668639,0
"TCGA-LIHC",0.23,0.292574092574093,0.400599400599401,0
