"Dataset","Model","Model_class","Genes_Used_N","Genes_Total_N","Gene_Coverage","Genes_Used","Missing_Genes","Benchmark_Interpretation"
"GSE14520","Current nine-gene score","Current model",9,9,1,"SLC27A5;NDRG1;PKM;G6PD;ENO1;CNIH4;FADS1;GJA1;BGN","","Complete formula coverage"
"GSE14520","Liang 2020 10-FRG","Published ferroptosis signature",10,10,1,"SLC7A11;G6PD;CISD1;CARS1;SLC1A5;ACACA;ACSL3;NQO1;NFS1;GPX4","","Complete formula coverage"
"GSE14520","Zhang 2022 5-FRG","Published ferroptosis signature",5,5,1,"SLC7A11;SLC1A5;TFRC;CARS1;RPL8","","Complete formula coverage"
"GSE14520","Xu 2022 13-FRG/PRG","Published ferroptosis/pyroptosis signature",13,13,1,"ATG3;FLT3;G6PD;GLMN;HILPDA;LRPPRC;MKI67;NRAS;PRDX6;SLC1A5;SLC7A11;SQSTM1;UBE2D2","","Complete formula coverage"
"GSE14520","Liu 2019 6-gene HCC","Published general HCC signature",6,6,1,"CSE1L;CSTB;MTHFR;DAGLA;MMP10;GYS2","","Complete formula coverage"
"GSE14520","MKI67 single-gene baseline","Proliferation baseline",1,1,1,"MKI67","","Complete formula coverage"
"GSE14520","Cell-cycle metagene baseline","Proliferation baseline",13,13,1,"MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;CDC20;BIRC5;AURKA;AURKB;CCNA2;MCM2;MCM6","","Complete formula coverage"
"TCGA-LIHC","Current nine-gene score","Current model",9,9,1,"SLC27A5;NDRG1;PKM;G6PD;ENO1;CNIH4;FADS1;GJA1;BGN","","Complete formula coverage"
"TCGA-LIHC","Liang 2020 10-FRG","Published ferroptosis signature",10,10,1,"SLC7A11;G6PD;CISD1;CARS1;SLC1A5;ACACA;ACSL3;NQO1;NFS1;GPX4","","Complete formula coverage"
"TCGA-LIHC","Zhang 2022 5-FRG","Published ferroptosis signature",5,5,1,"SLC7A11;SLC1A5;TFRC;CARS1;RPL8","","Complete formula coverage"
"TCGA-LIHC","Xu 2022 13-FRG/PRG","Published ferroptosis/pyroptosis signature",13,13,1,"ATG3;FLT3;G6PD;GLMN;HILPDA;LRPPRC;MKI67;NRAS;PRDX6;SLC1A5;SLC7A11;SQSTM1;UBE2D2","","Complete formula coverage"
"TCGA-LIHC","Liu 2019 6-gene HCC","Published general HCC signature",6,6,1,"CSE1L;CSTB;MTHFR;DAGLA;MMP10;GYS2","","Complete formula coverage"
"TCGA-LIHC","MKI67 single-gene baseline","Proliferation baseline",1,1,1,"MKI67","","Complete formula coverage"
"TCGA-LIHC","Cell-cycle metagene baseline","Proliferation baseline",13,13,1,"MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;CDC20;BIRC5;AURKA;AURKB;CCNA2;MCM2;MCM6","","Complete formula coverage"
"GSE76427","Current nine-gene score","Current model",9,9,1,"SLC27A5;NDRG1;PKM;G6PD;ENO1;CNIH4;FADS1;GJA1;BGN","","Complete formula coverage"
"GSE76427","Liang 2020 10-FRG","Published ferroptosis signature",9,10,0.9,"SLC7A11;G6PD;CISD1;SLC1A5;ACACA;ACSL3;NQO1;NFS1;GPX4","CARS1","Near-complete formula coverage"
"GSE76427","Zhang 2022 5-FRG","Published ferroptosis signature",4,5,0.8,"SLC7A11;SLC1A5;TFRC;RPL8","CARS1","Near-complete formula coverage"
"GSE76427","Xu 2022 13-FRG/PRG","Published ferroptosis/pyroptosis signature",13,13,1,"ATG3;FLT3;G6PD;GLMN;HILPDA;LRPPRC;MKI67;NRAS;PRDX6;SLC1A5;SLC7A11;SQSTM1;UBE2D2","","Complete formula coverage"
